Age,Commit message (Expand),Author,Files,Lines
2022-02-05,net: mana: Remove unnecessary check of cqe_type in mana_process_rx_cqe(),Haiyang Zhang,1,-3/+0
2022-02-05,net: mana: Add handling of CQE_RX_TRUNCATED,Haiyang Zhang,1,-2/+5
2022-02-04,selftests/bpf: Test bpf_core_types_are_compat() functionality.,Matteo Croce,6,-2/+74
2022-02-04,bpf: Implement bpf_core_types_are_compat().,Matteo Croce,2,-1/+109
2022-02-03,printk: Fix incorrect __user type in proc_dointvec_minmax_sysadmin(),Mickaël Salaün,1,-1/+1
2022-02-03,PCI: hv: Fix NUMA node assignment when kernel boots with custom NUMA topology,Long Li,1,-2/+11
2022-02-03,Invalidate fscache cookie only when inode attributes are changed.,Rohith Surabattula,1,-4/+4
2022-01-31,arm64: dts: qcom: sm8150: simplify references to pwrkey and resin,Felipe Balbi,1,-12/+8
2022-01-31,arm64: dts: qcom: sm8150: add i2c and spi dma channels,Felipe Balbi,1,-0/+120
2022-01-31,net: mana: Reuse XDP dropped page,Haiyang Zhang,2,-2/+14
2022-01-31,net: mana: Add counter for XDP_TX,Haiyang Zhang,3,-5/+15
2022-01-31,net: mana: Add counter for packet dropped by XDP,Haiyang Zhang,3,-29/+49
2022-01-29,cifs: unlock chan_lock before calling cifs_put_tcp_session,Shyam Prasad N,1,-6/+2
2022-01-24,video: hyperv_fb: Fix validation of screen resolution,Michael Kelley,1,-13/+3
2022-01-19,cifs: update internal module number,Steve French,1,-2/+2
2022-01-19,smb3: send NTLMSSP version information,Steve French,4,-2/+101
2022-01-19,cifs: cifs_ses_mark_for_reconnect should also update reconnect bits,Shyam Prasad N,6,-29/+14
2022-01-19,cifs: update tcpStatus during negotiate and sess setup,Shyam Prasad N,1,-3/+2
2022-01-19,cifs: make status checks in version independent callers,Shyam Prasad N,3,-29/+23
2022-01-19,cifs: remove repeated state change in dfs tree connect,Shyam Prasad N,1,-10/+0
2022-01-19,cifs: fix the cifs_reconnect path for DFS,Shyam Prasad N,1,-0/+3
2022-01-19,cifs: protect all accesses to chan_* with chan_lock,Shyam Prasad N,5,-5/+22
2022-01-19,cifs: fix the connection state transitions with multichannel,Shyam Prasad N,4,-28/+28
2022-01-19,cifs: check reconnects for channels of active tcons too,Shyam Prasad N,3,-19/+99
2022-01-18,smb3: add new defines from protocol specification,Steve French,2,-1/+3
2022-01-17,cifs: free ntlmsspblob allocated in negotiate,Shyam Prasad N,1,-5/+8
2022-01-12,PCI: hv: Add arm64 Hyper-V vPCI support,Sunil Muthuswamy,4,-3/+245
2022-01-12,PCI: hv: Make the code arch neutral by adding arch specific interfaces,Sunil Muthuswamy,4,-65/+87
2022-01-10,scsi: storvsc: Fix storvsc_queuecommand() memory leak,Juan Vazquez,1,-5/+12
2022-01-07,cifs: avoid race during socket reconnect between send and recv,Shyam Prasad N,3,-24/+6
2022-01-07,cifs: maintain a state machine for tcp/smb/tcon sessions,Shyam Prasad N,5,-35/+82
2022-01-07,cifs: take cifs_tcp_ses_lock for status checks,Shyam Prasad N,12,-43/+164
2022-01-05,Drivers: hv: vmbus: Initialize request offers message for Isolation VM,Juan Vazquez,1,-1/+1
2022-01-02,cifs: reconnect only the connection and not smb session where possible,Shyam Prasad N,5,-35/+52
2022-01-02,cifs: add WARN_ON for when chan_count goes below minimum,Shyam Prasad N,1,-0/+5
2022-01-02,cifs: adjust DebugData to use chans_need_reconnect for conn status,Shyam Prasad N,1,-1/+7
2022-01-02,cifs: use the chans_need_reconnect bitmap for reconnect status,Shyam Prasad N,15,-207/+236
2022-01-02,cifs: track individual channel status using chans_need_reconnect,Shyam Prasad N,6,-24/+211
2021-12-28,x86/hyperv: Fix definition of hv_ghcb_pg variable,Michael Kelley,2,-2/+2
2021-12-28,Drivers: hv: Fix definition of hypercall input & output arg variables,Michael Kelley,2,-4/+4
2021-12-20,net: netvsc: Add Isolation VM support for netvsc driver,Tianyu Lan,8,-3/+187
2021-12-20,scsi: storvsc: Add Isolation VM support for storvsc driver,Tianyu Lan,3,-16/+26
2021-12-20,hyper-v: Enable swiotlb bounce buffer for Isolation VM,Tianyu Lan,2,-1/+26
2021-12-20,x86/hyper-v: Add hyperv Isolation VM check in the cc_platform_has(),Tianyu Lan,1,-0/+8
2021-12-20,swiotlb: Add swiotlb bounce buffer remap function for HV IVM,Tianyu Lan,2,-2/+47
2021-12-17,cifs: ignore resource_id while getting fscache super cookie,Shyam Prasad N,2,-13/+7
2021-12-16,net: mana: Add RX fencing,Dexuan Cui,2,-5/+66
2021-12-16,arm64: kexec: Fix missing error code 'ret' warning in load_other_segments(),Lakshmi Ramasubramanian,1,-0/+1
2021-12-14,arm64: dts: qcom: add minimal DTS for Microsoft Surface Duo 2,Katherine Perez,2,-0/+370
2021-12-11,tracing: Do not let synth_events block other dyn_event systems during create,Beau Belgrave,1,-6/+7
2021-12-10,arm64: Make dump_backtrace() use arch_stack_walk(),Madhavan T. Venkataraman,1,-38/+6
